0, 135
1, 263
2, 103
3, 255
4, 276
5, 198
6, 52
7, 25
8, 115
9, 26
10, 234
11, 213
12, 142
13, 208
14, 178
15, 21
16, 18
17, 136
18, 125
19, 144
20, 194
21, 268
22, 12
23, 179
24, 108
25, 123
26, 253
27, 122
28, 46
29, 16
30, 266
31, 134
32, 289
33, 224
34, 11
35, 169
36, 87
37, 197
38, 300
39, 104
40, 146
41, 247
42, 143
43, 191
44, 149
45, 217
46, 70
47, 50
48, 213
49, 242
50, 158
51, 74
52, 291
53, 168
54, 131
55, 255
56, 70
57, 292
58, 27
59, 278
60, 35
61, 213
62, 116
63, 131
64, 271
65, 294
66, 98
67, 144
68, 126
69, 81
70, 171
71, 65
72, 48
73, 274
74, 255
75, 146
76, 216
77, 28
78, 154
79, 185
80, 166
81, 155
82, 200
83, 78
84, 267
85, 179
86, 264
87, 227
88, 20
89, 140
90, 177
91, 89
92, 76
93, 81
94, 93
95, 78
96, 0
97, 272
98, 155
99, 151
100, 11
101, 88
102, 96
103, 296
104, 17
105, 236
106, 121
107, 144
108, 270
109, 268
110, 225
111, 80
112, 199
113, 209
114, 178
115, 206
116, 152
117, 199
118, 290
119, 20
120, 14
121, 129
122, 65
123, 200
124, 176
125, 69
126, 283
127, 154
128, 185
129, 219
130, 174
131, 221
132, 229
133, 273
134, 161
135, 223
136, 194
137, 46
138, 122
139, 136
140, 143
141, 143
142, 180
143, 56
144, 149
145, 204
146, 119
147, 159
148, 253
149, 76
150, 56
151, 210
152, 119
153, 100
154, 170
155, 56
156, 257
157, 166
158, 132
159, 119
160, 209
161, 224
162, 276
163, 278
164, 143
165, 53
166, 268
167, 75
168, 27
169, 66
170, 287
171, 206
172, 151
173, 140
174, 252
175, 226
176, 209
177, 3
178, 220
179, 283
180, 112
181, 209
182, 44
183, 2
184, 7
185, 299
186, 221
187, 224
188, 127
189, 179
190, 285
191, 166
192, 135
193, 102
194, 219
195, 159
196, 251
197, 141
198, 268
199, 293
200, 138
201, 80
202, 224
203, 37
204, 119
205, 285
206, 128
207, 85
208, 261
209, 101
210, 77
211, 203
212, 227
213, 33
214, 268
215, 127
216, 131
217, 238
218, 121
219, 107
220, 129
221, 159
222, 157
223, 113
224, 59
225, 224
226, 84
227, 128
228, 109
229, 276
230, 286
231, 212
232, 211
233, 55
234, 185
235, 176
236, 3
237, 112
238, 105
239, 238
240, 80
241, 164
242, 142
243, 178
244, 74
245, 125
246, 54
247, 97
248, 64
249, 155
250, 61
251, 84
252, 77
253, 158
254, 44
255, 113
256, 57
257, 41
258, 239
259, 297
260, 239
261, 287
262, 237
263, 227
264, 238
265, 50
266, 194
267, 261
268, 78
269, 104
